测试大类,评测维度（主）,评测维度（其他）,统一设定建议比例,测试提示词 ,主记分点 (1-5分),GPT Image 1.5,Midjourney-v6.0,Nano Banana 2,万相2.6,腾讯混元（HunyuanImage3.0-instruct）,即梦（Seedream5.0 Lite）,可灵（3.0 Omini）,智谱清言（GLM image）,文心 4.5 Turbo,秒画（Mira Image v-1.0）,豆包（Seedream4.5）,Vidu-Q2,Liblib（V2-flash）,Vidu-Q3 Pro
文生图,"4.材质质感
（机位、多主体交互）","1、物理交互
2、复杂结构
3、细节完整不崩坏
4、指令遵循",1:1,特写镜头：两只手正在笨拙地打领带。一只是人类的手，另一只是金属机械手。打了一半的红色领带缠绕在手指间。,解剖与穿插：人类与机械材质需分明（否则扣1分）。手指畸形扣 1-2 分。领带无物理缠绕感（悬浮贴图）扣 1 分。,4分-10S,2分-53s,3分-26s,2分-27s,3分-79s,2分-135s,2分-36s,3分-11s,1分-16s,3分-28s,3分-17s,3分-11s,4分-113s,5分-29s
文生图,"5. 语义遵循
（比例、空间逻辑）","1、材质质感
2、主体特征
",3:4,一只体型微小的长颈鹿，正站在一块被咬了一口的巨型西瓜上吃瓜瓤，旁边放着一枚正常的硬币作为大小参考。,微距常识突破：长颈鹿、西瓜、硬币的相对比例必须呈现“微观世界”特征。比例无明显逆转最高记 2 分。,4分-10S,1分-99s,4分-26s,2分-20s,1分-73s,4分-37s,1分-39s,2分-7s,1分-15s,1分-24s,5分-17s,3分-10s,4分-33s,3分-28s
文生图,"6. 光学逻辑
（物理逻辑、空间逻辑）","1、材质质感
2、语义遵循
3、光影",16:9,一面碎裂的镜子倒映着桌上的一个发光红苹果。镜子的每一块碎片中都能看到不同角度的苹果倒影。昏暗房间。,物理折射：镜子碎片中无倒影扣 2 分；倒影物理逻辑错误（如画在镜子表面而非倒影）扣 1 分。,2分-12S,2分-94s,4分-39s,2分-15s,1分-50s,2分-20s,3分-61s,2分-12s,2分-21s,2分-30s,3分-18s,3分-7s,5分-27s,4分-29s
文生图,"7.文本处理
（风格、文本、光影）","1、物理空间
2、材质质感",1:1,"霓虹灯招牌，第一行写着英文""Welcome to""，第二行大写""CHENGDU""。招牌倒映在下雨的水洼里。",拼写与镜像：英文字母拼写或大小写错误，错一处扣 1 分。水洼倒影未呈现正确的物理镜像翻转扣 2 分。,5分-10S,1分-99s,5分-45s,4分-190s,5分-52s,5分-31s,5分-52s,5分-15s,4分-19s,5分-20s,5分-17s,5分-14s,5分-39s,5分-30s
图生图,"1. 风格还原
（规则执行约束）","1、原图特征结构还原
2、指令遵循
3、特征绑定
4、原稿还原
",1:1,仅使用纯阿色赛璐璐平涂上色，金发蓝眼。绝对不要添加任何阴影、高光或3D立体效果。,负面服从度：画面出现任何体积光、渐变或 3D 立体感扣 2-3 分。颜色溢出线稿边界扣 1-2 分。,5分-22S,1分-18s,4分-47s,1分-20s,4分-69s,5分-38s,5分-214s,2分-22s,1分-28s,4分-28s,3分-20s,5分-37s,3分-43s,4分-32s
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
图生图,2. 人物换装（写实特征保留、替换、细节控制）,"1、人体结构
2、光影
3、细节完整性抗崩坏
",3:4,保持原图人物的面部特征绝对不变，将其服装换成中世纪骑士铠甲，背景换成战场。,特征锁死：面部特征不像原图扣 2-3 分。头部与铠甲衔接生硬或透视断裂扣 1 分。,3分-60s,1分-94s,3分-71s,2分-21s,2分-32s,3分-24s,3分-111s,3分-15s,1分-25s,2分-33s,2分-22s,3分-35s,3分-44s,4分-151s
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
图生图,3. 材质修改,"1、真实性
2、光影
3、特征一致性
",1:1,把杯子的材质替换为玻璃，并装满水，透过玻璃可以清晰看到杯子后方的桌子纹理。,透明推理：未生成透明质感扣 2 分。透过玻璃未能合理折射并补全桌子背景纹理扣 1-2 分。,4分-15S,1分-99s,5分-48s,3分-24s,3分-35s,3分-20s,2分-440s,2分-17s,1分-28s,3分30s,2分-19s,3分-61s,5分-34s,3分-33s
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
图生图,4. 深度遮挡（人体结构、姿态重构、特征迁移）,"1、细节完整性抗崩坏
2、结构理解
3、特征一致性
",3:4,双手背在身后的古代剑客并且背对镜头。,遮挡推理：强行将手画在躯干前方记 1-2 分。产生多余手臂肢体记 1 分。,3分-80s,1分-57s,3分-51s,3分-22s,3分-27s,2分-22s,2分-532s,2分-18s,1分-28s,3分-34s,3分-21s,2分-18s,3分-30s,3分-42s
